HJD_V	                &             ∆m_V	&	HJD_R	               &             ∆m_R	&	HJD_I	                &	∆m_I		
2458849.15344 	&	0.768	&	2458849.15431 	&	0.424	&	2458849.15987 	&	0.023
2458849.15585 	&	0.765	&	2458849.15673 	&	0.438	&	2458849.16229 	&	0.024
2458849.15828 	&	0.767	&	2458849.15916 	&	0.437	&	2458849.16472 	&	0.036
2458849.16070 	&	0.778	&	2458849.16158 	&	0.432	&	2458849.98237 	&	0.045
2458849.16313 	&	0.784	&	2458849.16401 	&	0.444	&	2458849.98722 	&	0.063
2458849.98078 	&	0.779	&	2458849.98166 	&	0.438	&	2458849.99207 	&	0.053
2458849.98320 	&	0.786	&	2458849.98408 	&	0.445	&	2458849.99448 	&	0.073
2458849.98806 	&	0.791	&	2458849.98893 	&	0.425	&	2458849.99692 	&	0.065
2458849.99048 	&	0.788	&	2458849.99136 	&	0.454	&	2458850.00176 	&	0.068
2458849.99533 	&	0.787	&	2458849.99621 	&	0.449	&	2458850.00418 	&	0.074
2458849.99775 	&	0.789	&	2458849.99863 	&	0.456	&	2458850.01146 	&	0.066
2458850.00018 	&	0.808	&	2458850.00106 	&	0.463	&	2458850.01388 	&	0.077
2458850.00260 	&	0.806	&	2458850.00348 	&	0.48	&	2458850.01631 	&	0.082
2458850.00503 	&	0.801	&	2458850.00591 	&	0.48	&	2458850.01873 	&	0.074
2458850.00745 	&	0.808	&	2458850.00833 	&	0.474	&	2458850.02116 	&	0.081
2458850.00988 	&	0.803	&	2458850.01076 	&	0.471	&	2458850.02358 	&	0.074
2458850.01231 	&	0.808	&	2458850.01318 	&	0.479	&	2458850.02601 	&	0.074
2458850.01473 	&	0.806	&	2458850.01561 	&	0.466	&	2458850.02843 	&	0.057
2458850.01715 	&	0.82	&	2458850.01803 	&	0.466	&	2458850.03086 	&	0.065
2458850.01958 	&	0.813	&	2458850.02288 	&	0.466	&	2458850.03328 	&	0.041
2458850.02200 	&	0.812	&	2458850.02531 	&	0.466	&	2458850.03571 	&	0.046
2458850.02443 	&	0.802	&	2458850.02772 	&	0.469	&	2458850.03813 	&	0.013
2458850.02685 	&	0.798	&	2458850.03016 	&	0.463	&	2458850.04055 	&	0.038
2458850.02928 	&	0.79	&	2458850.03257 	&	0.459	&	2458850.04298 	&	0.023
2458850.03169 	&	0.795	&	2458850.03500 	&	0.448	&	2458850.04540 	&	0.011
2458850.03413 	&	0.774	&	2458850.03742 	&	0.443	&	2458850.04783 	&	0.018
2458850.03654 	&	0.791	&	2458850.03985 	&	0.439	&	2458850.05025 	&	0
2458850.03897 	&	0.767	&	2458850.04227 	&	0.437	&	2458850.05268 	&	0.02
2458850.04139 	&	0.758	&	2458850.04470 	&	0.423	&	2458850.05510 	&	0.002
2458850.04382 	&	0.76	&	2458850.04712 	&	0.411	&	2458850.05753 	&	0.01
2458850.04624 	&	0.761	&	2458850.04955 	&	0.41	&	2458850.05995 	&	0.017
2458850.04867 	&	0.75	&	2458850.05197 	&	0.403	&	2458850.06238 	&	-0.013
2458850.05109 	&	0.748	&	2458850.05440 	&	0.411	&	2458850.06480 	&	-0.016
2458850.05352 	&	0.751	&	2458850.05682 	&	0.4	&	2458850.06723 	&	-0.013
2458850.05594 	&	0.724	&	2458850.05925 	&	0.394	&	2458850.06965 	&	-0.033
2458850.05837 	&	0.713	&	2458850.06167 	&	0.386	&	2458850.07208 	&	-0.019
2458850.06079 	&	0.722	&	2458850.06410 	&	0.394	&	2458850.07449 	&	-0.044
2458850.06322 	&	0.721	&	2458850.06652 	&	0.378	&	2458850.07693 	&	-0.023
2458850.06564 	&	0.731	&	2458850.06894 	&	0.384	&	2458850.07934 	&	-0.032
2458850.06807 	&	0.717	&	2458850.07137 	&	0.383	&	2458850.08177 	&	-0.035
2458850.07049 	&	0.71	&	2458850.07380 	&	0.388	&	2458850.08419 	&	-0.03
2458850.07292 	&	0.703	&	2458850.07622 	&	0.382	&	2458850.08662 	&	-0.031
2458850.07534 	&	0.713	&	2458850.07865 	&	0.372	&	2458850.08904 	&	-0.026
2458850.07777 	&	0.709	&	2458850.08107 	&	0.366	&	2458850.09147 	&	-0.023
2458850.08019 	&	0.701	&	2458850.08349 	&	0.365	&	2458850.09389 	&	-0.025
2458850.08262 	&	0.689	&	2458850.08592 	&	0.359	&	2458850.09632 	&	-0.021
2458850.08504 	&	0.682	&	2458850.08835 	&	0.36	&	2458850.09874 	&	-0.03
2458850.08747 	&	0.694	&	2458850.09077 	&	0.352	&	2458850.10117 	&	-0.056
2458850.08989 	&	0.682	&	2458850.09319 	&	0.351	&	2458850.10359 	&	-0.047
2458850.09232 	&	0.688	&	2458850.09562 	&	0.352	&	2458850.10602 	&	-0.041
2458850.09474 	&	0.684	&	2458850.09804 	&	0.359	&	2458850.10844 	&	-0.041
2458850.09717 	&	0.673	&	2458850.10047 	&	0.356	&	2458850.11087 	&	-0.039
2458850.09959 	&	0.692	&	2458850.10289 	&	0.352	&	2458850.11329 	&	-0.046
2458850.10202 	&	0.673	&	2458850.10532 	&	0.347	&	2458850.11572 	&	-0.057
2458850.10444 	&	0.688	&	2458850.10773 	&	0.358	&	2458850.11814 	&	-0.046
2458850.10686 	&	0.683	&	2458850.11017 	&	0.346	&	2458850.12057 	&	-0.057
2458850.10929 	&	0.672	&	2458850.11258 	&	0.342	&	2458850.12299 	&	-0.019
2458850.11170 	&	0.663	&	2458850.11501 	&	0.355	&	2458850.12542 	&	-0.029
2458850.11414 	&	0.663	&	2458850.11743 	&	0.35	&	2458850.12784 	&	-0.064
2458850.11655 	&	0.677	&	2458850.12228 	&	0.343	&	2458850.13027 	&	-0.058
2458850.11898 	&	0.665	&	2458850.12471 	&	0.341	&	2458850.13269 	&	-0.028
2458850.12140 	&	0.688	&	2458850.12713 	&	0.372	&	2458850.13512 	&	-0.032
2458850.12383 	&	0.685	&	2458850.12956 	&	0.383	&	2458850.13754 	&	-0.025
2458850.12625 	&	0.687	&	2458850.13199 	&	0.37	&	2458850.13997 	&	-0.023
2458850.12868 	&	0.682	&	2458850.13441 	&	0.364	&	2458850.14239 	&	-0.026
2458850.13111 	&	0.7	&	2458850.13684 	&	0.375	&	2458850.14482 	&	-0.023
2458850.13353 	&	0.696	&	2458850.13926 	&	0.38	&	2458850.14724 	&	-0.008
2458850.13596 	&	0.678	&	2458850.14168 	&	0.358	&	2458850.14967 	&	0.017
2458850.13838 	&	0.692	&	2458850.14411 	&	0.37	&	2458850.15209 	&	0.008
2458850.14081 	&	0.701	&	2458850.14653 	&	0.373	&	2458850.15452 	&	0.004
2458850.14323 	&	0.707	&	2458850.14896 	&	0.386	&	2458850.15694 	&	-0.006
2458850.14808 	&	0.703	&	2458850.15139 	&	0.407	&	2458850.15937 	&	0.025
2458850.15051 	&	0.708	&	2458850.15381 	&	0.397	&	2458850.16178 	&	0.017
2458850.15293 	&	0.715	&	2458850.15623 	&	0.411	&	2458850.16422 	&	0.025
2458850.15536 	&	0.735	&	2458850.15866 	&	0.396	&	2458850.16663 	&	0.031
2458850.15778 	&	0.735	&	2458850.16108 	&	0.411	&	2458850.98162 	&	0.013
2458850.16021 	&	0.742	&	2458850.16351 	&	0.414	&	2458850.98405 	&	0.021
2458850.16263 	&	0.745	&	2458850.16593 	&	0.435	&	2458850.98647 	&	0.012
2458850.98003 	&	0.749	&	2458850.98091 	&	0.434	&	2458850.98890 	&	0.027
2458850.98246 	&	0.776	&	2458850.98334 	&	0.437	&	2458850.99132 	&	0.041
2458850.98488 	&	0.743	&	2458850.98576 	&	0.428	&	2458850.99375 	&	0.029
2458850.98731 	&	0.78	&	2458850.98819 	&	0.436	&	2458850.99617 	&	0.048
2458850.98973 	&	0.802	&	2458850.99061 	&	0.461	&	2458850.99860 	&	0.051
2458850.99216 	&	0.806	&	2458850.99304 	&	0.452	&	2458851.00102 	&	0.061
2458850.99458 	&	0.824	&	2458850.99546 	&	0.475	&	2458851.00587 	&	0.102
2458850.99701 	&	0.808	&	2458850.99789 	&	0.485	&	2458851.01313 	&	0.144
2458850.99943 	&	0.847	&	2458851.00031 	&	0.504	&	2458851.01556 	&	0.168
2458851.00186 	&	0.873	&	2458851.00274 	&	0.527	&	2458851.01798 	&	0.186
2458851.00428 	&	0.9	&	2458851.00516 	&	0.549	&	2458851.02041 	&	0.204
2458851.00671 	&	0.892	&	2458851.00759 	&	0.556	&	2458851.02284 	&	0.214
2458851.00913 	&	0.96	&	2458851.01001 	&	0.591	&	2458851.02769 	&	0.239
2458851.01156 	&	0.959	&	2458851.01244 	&	0.604	&	2458851.03011 	&	0.257
2458851.01641 	&	1.022	&	2458851.01486 	&	0.641	&	2458851.03254 	&	0.245
2458851.01883 	&	1.043	&	2458851.01729 	&	0.655	&	2458851.03496 	&	0.243
2458851.02126 	&	1.084	&	2458851.01971 	&	0.676	&	2458851.03739 	&	0.25
2458851.02368 	&	1.092	&	2458851.02214 	&	0.702	&	2458851.03981 	&	0.258
2458851.02611 	&	1.113	&	2458851.02456 	&	0.704	&	2458851.04224 	&	0.228
2458851.02853 	&	1.138	&	2458851.02699 	&	0.729	&	2458851.04466 	&	0.225
2458851.03096 	&	1.145	&	2458851.02941 	&	0.747	&	2458851.04709 	&	0.2
2458851.03338 	&	1.145	&	2458851.03184 	&	0.758	&	2458851.04951 	&	0.217
2458851.03581 	&	1.142	&	2458851.03426 	&	0.752	&	2458851.05194 	&	0.176
2458851.03823 	&	1.149	&	2458851.03669 	&	0.749	&	2458851.05436 	&	0.174
2458851.04066 	&	1.136	&	2458851.03911 	&	0.749	&	2458851.05679 	&	0.158
2458851.04307 	&	1.125	&	2458851.04154 	&	0.733	&	2458851.05921 	&	0.133
2458851.04551 	&	1.096	&	2458851.04395 	&	0.71	&	2458851.06164 	&	0.114
2458851.04792 	&	1.099	&	2458851.04639 	&	0.707	&	2458851.06406 	&	0.068
2458851.05035 	&	1.021	&	2458851.04880 	&	0.718	&	2458851.06649 	&	0.065
2458851.05277 	&	0.974	&	2458851.05123 	&	0.665	&	2458851.06891 	&	0.078
2458851.05520 	&	0.991	&	2458851.05365 	&	0.643	&	2458851.07134 	&	0.067
2458851.05762 	&	0.968	&	2458851.05608 	&	0.624	&	2458851.07376 	&	0.047
2458851.06005 	&	0.96	&	2458851.05850 	&	0.59	&	2458851.07618 	&	0.046
2458851.06247 	&	0.889	&	2458851.06093 	&	0.579	&	2458851.07861 	&	0.02
2458851.06490 	&	0.893	&	2458851.06335 	&	0.566	&	2458851.08103 	&	0.014
2458851.06732 	&	0.864	&	2458851.06578 	&	0.515	&	2458851.08346 	&	0.011
2458851.06975 	&	0.86	&	2458851.06820 	&	0.497	&	2458851.08589 	&	0.004
2458851.07217 	&	0.84	&	2458851.07063 	&	0.501	&	2458851.08831 	&	0.003
2458851.07460 	&	0.824	&	2458851.07305 	&	0.486	&	2458851.09072 	&	-0.047
2458851.07702 	&	0.819	&	2458851.07548 	&	0.463	&	2458851.09316 	&	-0.01
2458851.07945 	&	0.791	&	2458851.07790 	&	0.447	&	2458851.09557 	&	-0.013
2458851.08187 	&	0.787	&	2458851.08033 	&	0.443	&	2458851.09800 	&	-0.024
2458851.08430 	&	0.779	&	2458851.08275 	&	0.439	&	2458851.10042 	&	-0.038
2458851.08672 	&	0.763	&	2458851.08518 	&	0.439	&	2458851.10285 	&	-0.042
2458851.08915 	&	0.761	&	2458851.08760 	&	0.426	&	2458851.10527 	&	-0.035
2458851.09157 	&	0.728	&	2458851.09003 	&	0.419	&	2458851.10770 	&	-0.056
2458851.09400 	&	0.745	&	2458851.09245 	&	0.397				
2458851.09642 	&	0.719	&	2458851.09488 	&	0.413				
2458851.09885 	&	0.715	&	2458851.09730 	&	0.396				
2458851.10127 	&	0.736	&	2458851.09973 	&	0.408				
2458851.10370 	&	0.706	&	2458851.10215 	&	0.377				
2458851.10612 	&	0.713	&	2458851.10458 	&	0.376				
2458851.10855 	&	0.702	&	2458851.10700 	&	0.374				
